"","country","region"
"1","Abkhazia",NA
"2","Afghanistan",4
"3","Akrotiri and Dhekelia",NA
"4","Albania",3
"5","Algeria",2
"6","American Samoa",NA
"7","Andorra",NA
"8","Angola",2
"9","Anguilla",NA
"10","Antigua and Barbuda",1
"11","Argentina",1
"12","Armenia",3
"13","Aruba",NA
"14","Australia",4
"15","Austria",3
"16","Azerbaijan",3
"17","Bahamas",1
"18","Bahrain",4
"19","Bangladesh",4
"20","Barbados",1
"21","Belarus",3
"22","Belgium",3
"23","Belize",1
"24","Benin",2
"25","Bermuda",NA
"26","Bhutan",4
"27","Bolivia",1
"28","Bosnia and Herzegovina",3
"29","Botswana",2
"30","Bouvet Island",NA
"31","Brazil",1
"32","British Indian Ocean Territory",NA
"33","British Virgin Islands",NA
"34","Brunei",4
"35","Bulgaria",3
"36","Burkina Faso",2
"37","Burundi",2
"38","Cambodia",4
"39","Cameroon",2
"40","Canada",1
"41","Cape Verde",2
"42","Cayman Islands",NA
"43","Central African Republic",2
"44","Chad",2
"45","Channel Islands",NA
"46","Chile",1
"47","China",4
"48","Christmas Island",NA
"49","Clipperton",NA
"50","Cocos Island",NA
"51","Colombia",1
"52","Comoros",2
"53","Congo, Dem. Rep.",2
"54","Congo, Rep.",2
"55","Cook Is",NA
"56","Costa Rica",1
"57","Cote d'Ivoire",2
"58","Croatia",3
"59","Cuba",1
"60","Curaí€Œ_ao",NA
"61","Cyprus",3
"62","Czech Republic",3
"63","Czechoslovakia",NA
"64","Denmark",3
"65","Djibouti",2
"66","Dominica",NA
"67","Dominican Republic",1
"68","Ecuador",1
"69","Egypt",2
"70","El Salvador",1
"71","Equatorial Guinea",2
"72","Eritrea",2
"73","Eritrea and Ethiopia",NA
"74","Estonia",3
"75","Ethiopia",2
"76","Faeroe Islands",NA
"77","Falkland Is (Malvinas)",NA
"78","Fiji",4
"79","Finland",3
"80","France",3
"81","French Guiana",1
"82","French Polynesia",NA
"83","French Southern and Antarctic Lands",NA
"84","Gabon",2
"85","Gambia",2
"86","Gaza Strip",NA
"87","Georgia",3
"88","Germany",3
"89","Ghana",2
"90","Gibraltar",NA
"91","Greece",3
"92","Greenland",3
"93","Grenada",1
"94","Guadeloupe",NA
"95","Guam",NA
"96","Guatemala",1
"97","Guernsey",NA
"98","Guinea",2
"99","Guinea-Bissau",2
"100","Guyana",1
"101","Haiti",1
"102","Heard and McDonald Islands",NA
"103","Holy See",NA
"104","Honduras",1
"105","Hong Kong, China",4
"106","Hungary",3
"107","Iceland",3
"108","India",4
"109","Indonesia",4
"110","Iran",4
"111","Iraq",4
"112","Ireland",3
"113","Isle of Man",NA
"114","Israel",4
"115","Italy",3
"116","Jamaica",1
"117","Japan",4
"118","Jersey",NA
"119","Jordan",4
"120","Kazakhstan",4
"121","Kenya",2
"122","Kiribati",4
"123","Kosovo",NA
"124","Kuwait",4
"125","Kyrgyz Republic",4
"126","Lao",4
"127","Latvia",3
"128","Lebanon",4
"129","Lesotho",2
"130","Liberia",2
"131","Libya",2
"132","Liechtenstein",NA
"133","Lithuania",3
"134","Luxembourg",3
"135","Macao, China",NA
"136","Macedonia, FYR",3
"137","Madagascar",2
"138","Malawi",2
"139","Malaysia",4
"140","Maldives",4
"141","Mali",2
"142","Malta",3
"143","Marshall Islands",NA
"144","Martinique",NA
"145","Mauritania",2
"146","Mauritius",2
"147","Mayotte",NA
"148","Mexico",1
"149","Micronesia, Fed. Sts.",4
"150","Moldova",3
"151","Monaco",NA
"152","Mongolia",4
"153","Montenegro",3
"154","Montserrat",NA
"155","Morocco",2
"156","Mozambique",2
"157","Myanmar",4
"158","Namibia",2
"159","Nauru",NA
"160","Nepal",4
"161","Netherlands",3
"162","Netherlands Antilles",NA
"163","New Caledonia",NA
"164","New Zealand",4
"165","Ngorno-Karabakh",NA
"166","Nicaragua",1
"167","Niger",2
"168","Nigeria",2
"169","Niue",NA
"170","Norfolk Island",NA
"171","North Korea",4
"172","North Yemen (former)",NA
"173","Northern Cyprus",NA
"174","Northern Mariana Islands",NA
"175","Northern Marianas",NA
"176","Norway",3
"177","Oman",4
"178","Pakistan",4
"179","Palau",NA
"180","Palestine",4
"181","Panama",1
"182","Papua New Guinea",4
"183","Paraguay",1
"184","Peru",1
"185","Philippines",4
"186","Pitcairn",NA
"187","Poland",3
"188","Portugal",3
"189","Puerto Rico",NA
"190","Qatar",4
"191","Reunion",NA
"192","Romania",3
"193","Russia",3
"194","Rwanda",2
"195","Samoa",4
"196","San Marino",NA
"197","Sao Tome and Principe",2
"198","Saudi Arabia",4
"199","Senegal",2
"200","Serbia",3
"201","Serbia and Montenegro",NA
"202","Serbia excluding Kosovo",NA
"203","Seychelles",2
"204","Sierra Leone",2
"205","Singapore",4
"206","Sint Maarten (Dutch part)",NA
"207","Slovak Republic",3
"208","Slovenia",3
"209","Solomon Islands",4
"210","Somalia",2
"211","Somaliland",NA
"212","South Africa",2
"213","South Georgia and the South Sandwich Islands",NA
"214","South Korea",4
"215","South Ossetia",NA
"216","South Sudan",2
"217","South Yemen (former)",NA
"218","Spain",3
"219","Sri Lanka",4
"220","St. Barthí€Œ©lemy",NA
"221","St. Helena",NA
"222","St. Kitts and Nevis",NA
"223","St. Lucia",1
"224","St. Martin",NA
"225","St. Martin (French part)",NA
"226","St. Vincent and the Grenadines",1
"227","St.-Pierre-et-Miquelon",NA
"228","Sudan",2
"229","Suriname",1
"230","Svalbard",NA
"231","Swaziland",2
"232","Sweden",3
"233","Switzerland",3
"234","Syria",4
"235","Taiwan",4
"236","Tajikistan",4
"237","Tanzania",2
"238","Thailand",4
"239","Timor-Leste",4
"240","Togo",2
"241","Tokelau",NA
"242","Tonga",4
"243","Transnistria",NA
"244","Trinidad and Tobago",1
"245","Tunisia",2
"246","Turkey",3
"247","Turkmenistan",4
"248","Turks and Caicos Islands",NA
"249","Tuvalu",NA
"250","US Minor Outlying Islands",NA
"251","Uganda",2
"252","Ukraine",3
"253","United Arab Emirates",4
"254","United Kingdom",3
"255","United Korea (former)",NA
"256","United States",1
"257","Uruguay",1
"258","Uzbekistan",4
"259","Vanuatu",4
"260","Venezuela",1
"261","Vietnam",4
"262","Virgin Islands",NA
"263","Virgin Islands (U.S.)",NA
"264","Wallis et Futuna",NA
"265","Western Sahara",2
"266","Yemen",4
"267","Yugoslavia",NA
"268","Zambia",2
"269","Zimbabwe",2
